站号,站名,纬度,经度,海拔高度
ZB601,榆次,37.696,112.785,864
ZB641,阳泉,37.913,113.696,803
ZB731,汾西,36.679,111.512,1133
ZB781,万荣,35.321,110.788,1406
ZC000,扎兰屯,47.994,122.804,560
ZC050,乌兰浩特,46.127,122.029,338
ZC200,东乌旗,45.518,116.995,874
ZC201,苏尼特左旗,43.858,113.739,1205
ZC202,正镶白旗,42.279,115.001,1546
ZC300,乌拉特中旗,41.569,108.428,1431
ZC400,和林格尔,40.388,111.824,1235
ZC500,海勃湾,39.562,106.840,1657
ZE001,铁东,43.120,124.386,187
ZI400,凤阳,32.790,117.663,81
ZI450,天长,32.739,119.004,45
ZI451,琅琊,32.356,118.254,48
ZI800,郎溪,31.140,119.263,65
ZI801,宁国,30.727,118.969,466
ZJ001,会昌,25.565,115.777,418
ZJ002,渝水,27.848,114.880,446
ZJ003,修水,29.174,114.609,328
ZJ101,龙南,24.870,114.808,255
ZK001,钱塘,30.264,120.688,45
ZK002,萧山,30.178,120.285,116
ZK003,余杭,30.432,119.959,376
ZK004,富阳,29.989,120.089,816
ZK005,大梁山,30.253,119.690,368
ZK006,笔架山,30.093,119.286,970
ZK007,建德,29.582,119.520,980
ZK008,桐庐,29.818,119.519,911
ZK009,淳安,29.659,119.113,628
ZK701,龙游,28.844,119.274,821
ZL001,清原,42.083,124.944,450
ZL002,本溪,41.250,124.260,866
ZL801,义县,41.510,121.230,89
ZM000,洋浦,19.820,109.186,30
ZN101,邕宁,22.690,108.454,125
ZN201,来宾,23.675,109.217,322
ZN601,靖西,23.071,106.456,1070
ZN801,宜州,24.434,108.494,576
ZO093,兰考,34.863,114.799,101
ZQ001,监利,29.879,112.898,58
ZQ002,五峰,30.177,110.985,1058
ZQ003,钟祥,31.198,112.632,130
ZQ004,潜江,30.378,112.874,65
ZQ005,孝感,31.018,114.005,78
ZQ006,崇阳,29.403,114.146,846
ZQ007,阳新,29.765,115.266,502
ZR801,惠水,25.973,106.747,1203
ZS002,兴文,28.330,105.259,375
ZS004,内江,29.427,105.244,400
ZS005,古蔺,27.992,105.791,1298
ZS006,筠连,28.121,104.659,1036
ZS007,平武,32.355,104.655,1565
ZS008,昭觉,28.080,102.796,3571
ZS009,会东,26.716,102.643,2922
ZS010,木里,28.127,101.167,3922
ZS012,泸定,29.771,102.353,3291
ZS013,丹巴,30.862,101.889,2777
ZS014,汶川,31.517,103.612,2777
ZS015,松潘,32.965,103.356,3945
ZS016,九寨沟,33.181,104.274,2293
ZS017,米易,27.079,102.004,2808
ZS021,金川,31.382,102.057,3190
ZT003,华坪,26.760,101.213,2241
ZT004,元谋,25.997,101.748,1662
ZU101,墨竹甲玛山,29.629,91.620,5415
ZU102,纳木措,30.934,90.996,4934
ZU103,尼木县,29.391,90.070,4627
ZU105,羊八井,30.006,90.414,4452
ZU201,拉孜,29.127,88.000,4679
ZU203,亚东,27.986,89.222,4805
ZU301,浪卡子,28.903,90.440,4825
ZU302,措美哲古,28.580,91.667,4886
ZU303,贡嘎加绕拉,29.137,90.778,4798
ZU304,隆子,28.521,92.412,5100
ZV601,略阳,33.312,106.159,1296
ZW000,靖远,36.345,104.587,2194
ZW001,迭部,34.008,103.656,3061
ZW002,文县,32.954,104.682,1297
ZY400,富蕴,46.818,89.514,974
ZY401,和布克赛尔,46.438,86.078,742
ZY402,托里,45.905,83.593,1141
ZY403,昭苏,43.139,81.125,1872
ZY404,皮山,37.563,78.231,1426
ZA460,上海松江曹家里,30.974,121.341,12
ZA491,上海崇明陈家镇,31.497,121.804,4
ZA492,上海崇明长征,31.764,121.407,4
ZA702,綦江,28.813,106.591,928
ZA704,城口,31.955,108.698,1355
ZA705,忠县,30.441,107.836,511
ZA706,酉阳,28.972,108.674,1395
ZB005,怀来,40.410,115.533,640
ZB006,保定涞源,39.528,114.861,1342
ZB012,泊头郝村,38.090,116.280,10
ZB732,隰县,36.794,110.810,1314
ZB733,吉县,36.131,110.772,1276
ZB734,永和,36.564,110.589,1218
ZC450,稀土高新区,40.529,109.881,1004
ZE002,长岭,44.242,123.826,184
ZE003,长白山,42.421,128.119,746
ZE004,汪清,43.317,129.746,540
ZE005,敦化,43.355,128.238,550
ZE006,榆树,44.850,126.521,195
ZE007,双辽,43.510,123.446,128
ZF101,晋安,26.176,119.331,594
ZF102,长乐,25.899,119.513,553
ZF103,闽侯,26.053,119.005,730
ZF201,海沧,24.507,118.021,378
ZF202,翔安,24.554,118.324,17
ZF203,同安,24.773,118.177,45
ZF501,安溪,25.203,117.973,1186
ZF502,南安,25.077,118.338,688
ZF503,永春,25.435,118.243,887
ZF504,晋江,24.808,118.544,126
ZF900,浦城,27.838,118.488,510
ZG000,番禺,23.008,113.317,64
ZG001,花都,23.421,113.237,55
ZG002,白云,23.294,113.460,545
ZG003,南沙,22.784,113.561,325
ZG004,增城,23.347,113.880,508
ZG005,从化,23.581,113.620,149
ZG020,求雨坛,22.645,113.846,318
ZG021,西涌,22.483,114.556,223
ZG040,淇澳岛,22.418,113.668,180
